"Date","Open","High","Low","Close","Volume","año"
"4/1/2015 16:00:00",40.6,40.76,40.31,40.72,36865322,2015
"4/2/2015 16:00:00",40.66,40.74,40.12,40.29,37487476,2015
"4/6/2015 16:00:00",40.34,41.78,40.18,41.55,39223692,2015
"4/7/2015 16:00:00",41.61,41.91,41.31,41.53,28809375,2015
"4/8/2015 16:00:00",41.48,41.69,41.04,41.42,24753438,2015
"4/9/2015 16:00:00",41.25,41.62,41.25,41.48,25723861,2015
"4/10/2015 16:00:00",41.63,41.95,41.41,41.72,28022002,2015
"4/13/2015 16:00:00",41.4,42.06,41.39,41.76,30276692,2015
"4/14/2015 16:00:00",41.8,42.03,41.39,41.65,24244382,2015
"4/15/2015 16:00:00",41.76,42.46,41.68,42.26,27343581,2015
"4/16/2015 16:00:00",41.95,42.34,41.82,42.16,22509652,2015
"4/17/2015 16:00:00",41.67,41.74,41.16,41.62,42387608,2015
"4/20/2015 16:00:00",41.73,43.17,41.68,42.91,46057733,2015
"4/21/2015 16:00:00",43,43.15,42.53,42.64,26013844,2015
"4/22/2015 16:00:00",42.67,43.13,42.55,42.99,25064273,2015
"4/23/2015 16:00:00",42.85,43.61,42.8,43.34,46309530,2015
"4/24/2015 16:00:00",45.66,48.14,45.65,47.87,130933665,2015
"4/27/2015 16:00:00",47.23,48.13,47.22,48.03,59248172,2015
"4/28/2015 16:00:00",47.78,49.21,47.7,49.16,60730778,2015
"4/29/2015 16:00:00",48.72,49.31,48.5,49.06,47804562,2015
"4/30/2015 16:00:00",48.7,49.54,48.6,48.64,64725457,2015
"5/1/2015 16:00:00",48.58,48.88,48.4,48.66,38937336,2015
"5/4/2015 16:00:00",48.37,48.87,48.18,48.24,34039485,2015
"5/5/2015 16:00:00",47.82,48.16,47.31,47.6,50369191,2015
"5/6/2015 16:00:00",47.57,47.77,46.02,46.28,52433020,2015
"5/7/2015 16:00:00",46.27,47.09,46.16,46.7,32971654,2015
"5/8/2015 16:00:00",47.55,47.98,47.52,47.75,35364911,2015
"5/11/2015 16:00:00",47.55,47.91,47.37,47.37,24609416,2015
"5/12/2015 16:00:00",46.85,47.68,46.42,47.35,29928264,2015
"5/13/2015 16:00:00",48.19,48.32,47.57,47.63,34184613,2015
"5/14/2015 16:00:00",48.03,48.82,48.03,48.72,32980892,2015
"5/15/2015 16:00:00",48.87,48.91,48.05,48.3,28642694,2015
"5/18/2015 16:00:00",47.98,48.22,47.61,48.01,24136502,2015
"5/19/2015 16:00:00",47.62,47.81,47.18,47.58,28574813,2015
"5/20/2015 16:00:00",47.39,47.93,47.27,47.58,25047919,2015
"5/21/2015 16:00:00",47.28,47.6,47.01,47.42,22410698,2015
"5/22/2015 16:00:00",47.3,47.35,46.82,46.9,25720583,2015
"5/26/2015 16:00:00",46.83,46.88,46.19,46.59,29581860,2015
"5/27/2015 16:00:00",46.82,47.77,46.62,47.61,27335639,2015
"5/28/2015 16:00:00",47.5,48.02,47.39,47.45,19283666,2015
"5/29/2015 16:00:00",47.43,47.57,46.59,46.86,36519594,2015
"6/1/2015 16:00:00",47.06,47.77,46.62,47.23,28837332,2015
"6/2/2015 16:00:00",46.95,47.35,46.62,46.92,21498326,2015
"6/3/2015 16:00:00",47.37,47.74,46.82,46.85,28002154,2015
"6/4/2015 16:00:00",46.79,47.16,46.2,46.36,27745512,2015
"6/5/2015 16:00:00",46.31,46.52,45.84,46.14,25438086,2015
"6/8/2015 16:00:00",46.3,46.43,45.67,45.73,22121634,2015
"6/9/2015 16:00:00",45.76,45.94,45.46,45.65,24406057,2015
"6/10/2015 16:00:00",45.79,46.83,45.69,46.61,28417405,2015
"6/11/2015 16:00:00",46.66,46.92,46.13,46.44,27347758,2015
"6/12/2015 16:00:00",46.2,46.47,45.9,45.97,23930972,2015
"6/15/2015 16:00:00",45.45,45.65,45.02,45.48,33254517,2015
"6/16/2015 16:00:00",45.35,46.24,45.3,45.83,27070306,2015
"6/17/2015 16:00:00",45.73,46.07,45.36,45.97,28704061,2015
"6/18/2015 16:00:00",46.22,46.8,46.17,46.72,32658343,2015
"6/19/2015 16:00:00",46.79,46.83,45.99,46.1,63837036,2015
"6/22/2015 16:00:00",46.33,46.72,46.16,46.23,20318055,2015
"6/23/2015 16:00:00",46.13,46.28,45.62,45.91,25896473,2015
"6/24/2015 16:00:00",45.68,46.25,45.55,45.64,34890901,2015
"6/25/2015 16:00:00",46.03,46.06,45.5,45.65,20615995,2015
"6/26/2015 16:00:00",45.65,46.28,45.03,45.26,49835287,2015
"6/29/2015 16:00:00",45.04,45.23,44.36,44.37,34081746,2015
"6/30/2015 16:00:00",44.71,44.72,43.94,44.15,35945384,2015
"7/1/2015 16:00:00",44.49,45.23,44.1,44.45,28343907,2015
"7/2/2015 16:00:00",44.48,44.75,44.06,44.4,21752013,2015
"7/6/2015 16:00:00",43.96,44.48,43.95,44.39,23033961,2015
"7/7/2015 16:00:00",44.34,44.49,43.32,44.3,36435827,2015
"7/8/2015 16:00:00",44.44,44.9,44.03,44.24,39785901,2015
"7/9/2015 16:00:00",44.75,45.22,44.5,44.52,32424672,2015
"7/10/2015 16:00:00",45.01,45.14,44.57,44.61,25465757,2015
"7/13/2015 16:00:00",44.98,45.62,44.95,45.54,28178329,2015
"7/14/2015 16:00:00",45.45,45.96,45.31,45.62,22880260,2015
"7/15/2015 16:00:00",45.68,45.89,45.43,45.76,26629615,2015
"7/16/2015 16:00:00",46.01,46.69,45.97,46.66,26271673,2015
"7/17/2015 16:00:00",46.55,46.78,46.26,46.62,29467107,2015
"7/20/2015 16:00:00",46.65,47.13,46.44,46.92,30631905,2015
"7/21/2015 16:00:00",46.78,47.33,46.48,47.28,42781899,2015
"7/22/2015 16:00:00",45.44,46.93,45.2,45.54,59152427,2015
"7/23/2015 16:00:00",45.27,46.23,45.1,46.11,33934010,2015
"7/24/2015 16:00:00",45.91,46.32,45.8,45.94,32333244,2015
"7/27/2015 16:00:00",45.94,46.01,45.25,45.35,39701420,2015
"7/28/2015 16:00:00",45.58,45.64,44.79,45.34,34328948,2015
"7/29/2015 16:00:00",45.4,46.78,45.26,46.29,40945864,2015
"7/30/2015 16:00:00",46.26,47.4,45.93,46.88,39777883,2015
"7/31/2015 16:00:00",47.29,47.37,46.5,46.7,31201480,2015
"8/3/2015 16:00:00",46.98,47,46.45,46.81,24125886,2015
"8/4/2015 16:00:00",46.75,47.71,46.68,47.54,33403916,2015
"8/5/2015 16:00:00",47.98,48.41,47.54,47.58,26959655,2015
"8/6/2015 16:00:00",47.71,47.77,46.33,46.62,27368000,2015
"8/7/2015 16:00:00",46.39,46.78,46.26,46.74,19163038,2015
"8/10/2015 16:00:00",46.95,47.49,46.84,47.33,23079870,2015
"8/11/2015 16:00:00",46.82,46.94,45.9,46.41,29237402,2015
"8/12/2015 16:00:00",46.19,46.9,45.71,46.74,30198532,2015
"8/13/2015 16:00:00",47.06,47.1,46.49,46.73,22627241,2015
"8/14/2015 16:00:00",46.53,47.1,46.52,47,21473402,2015
"8/17/2015 16:00:00",46.81,47.45,46.57,47.32,21099746,2015
"8/18/2015 16:00:00",46.84,47.43,46.7,47.27,23574104,2015
"8/19/2015 16:00:00",46.78,47.08,46.3,46.61,31485511,2015
"8/20/2015 16:00:00",46.07,46.47,45.66,45.66,36238227,2015
"8/21/2015 16:00:00",45.3,45.48,43.07,43.07,70053084,2015
"8/24/2015 16:00:00",40.45,43.31,39.72,41.68,88753660,2015
"8/25/2015 16:00:00",42.57,43.24,40.39,40.47,70616597,2015
"8/26/2015 16:00:00",42.01,42.84,41.06,42.71,63407996,2015
"8/27/2015 16:00:00",43.23,43.95,42.93,43.9,50943211,2015
"8/28/2015 16:00:00",43.4,44.15,43.39,43.93,28246725,2015
"8/31/2015 16:00:00",43.56,43.93,43.1,43.52,34441662,2015
"9/1/2015 16:00:00",42.17,42.59,41.66,41.82,49688896,2015
"9/2/2015 16:00:00",42.36,43.38,41.88,43.36,37671518,2015
"9/3/2015 16:00:00",43.41,43.98,43.28,43.5,28285205,2015
"9/4/2015 16:00:00",42.81,43.04,42.2,42.61,37138775,2015
"9/8/2015 16:00:00",43.3,44,43.2,43.89,32469766,2015
"9/9/2015 16:00:00",44.21,44.4,42.91,43.07,33469485,2015
"9/10/2015 16:00:00",43.12,43.79,42.75,43.29,31366630,2015
"9/11/2015 16:00:00",43.14,43.59,42.94,43.48,27132527,2015
"9/14/2015 16:00:00",43.43,43.44,42.86,43.04,23656048,2015
"9/15/2015 16:00:00",43.19,44.29,43.08,43.98,28882206,2015
"9/16/2015 16:00:00",43.97,44.38,43.84,44.3,23372162,2015
"9/17/2015 16:00:00",44.29,45,44.08,44.25,32768161,2015
"9/18/2015 16:00:00",43.5,43.99,43.33,43.48,63143684,2015
"9/21/2015 16:00:00",43.62,44.47,43.6,44.11,26177224,2015
"9/22/2015 16:00:00",43.38,44.05,43.31,43.9,28085903,2015
"9/23/2015 16:00:00",43.93,44.17,43.51,43.87,17145238,2015
"9/24/2015 16:00:00",43.45,44.13,43.27,43.91,27905607,2015
"9/25/2015 16:00:00",44.48,44.73,43.76,43.94,29384601,2015
"9/28/2015 16:00:00",43.83,44.09,43.21,43.29,27613785,2015
"9/29/2015 16:00:00",43.37,43.57,43.05,43.44,32763557,2015
"9/30/2015 16:00:00",43.88,44.3,43.66,44.26,34958880,2015
"10/1/2015 16:00:00",44.75,44.75,43.75,44.61,28657859,2015
"10/2/2015 16:00:00",44.27,45.57,43.92,45.57,41839035,2015
"10/5/2015 16:00:00",45.75,46.89,45.7,46.63,34369286,2015
"10/6/2015 16:00:00",46.33,47.18,46.22,46.75,27510808,2015
"10/7/2015 16:00:00",47.1,47.35,45.95,46.8,27711492,2015
"10/8/2015 16:00:00",46.56,47.52,46.5,47.45,33772709,2015
"10/9/2015 16:00:00",47.45,47.54,46.92,47.11,28600632,2015
"10/12/2015 16:00:00",46.98,47.07,46.5,47,19769066,2015
"10/13/2015 16:00:00",46.56,47.13,46.56,46.89,19987816,2015
"10/14/2015 16:00:00",46.65,47.1,46.53,46.68,24697766,2015
"10/15/2015 16:00:00",47.01,47.03,46.53,47.01,27189370,2015
"10/16/2015 16:00:00",47.02,47.54,46.9,47.51,26450334,2015
"10/19/2015 16:00:00",47.42,47.88,47.02,47.62,29387581,2015
"10/20/2015 16:00:00",47.44,47.81,47.02,47.77,30802235,2015
"10/21/2015 16:00:00",47.92,47.99,47.11,47.2,25264710,2015
"10/22/2015 16:00:00",47.53,48.95,47.09,48.03,56637074,2015
"10/23/2015 16:00:00",52.3,54.07,52.25,52.87,135227059,2015
"10/26/2015 16:00:00",52.53,54.32,52.5,54.25,64633324,2015
"10/27/2015 16:00:00",53.99,54.37,53.58,53.69,50999907,2015
"10/28/2015 16:00:00",53.54,53.98,52.86,53.98,47000753,2015
"10/29/2015 16:00:00",53.54,53.83,53.22,53.36,30202078,2015
"10/30/2015 16:00:00",53.32,53.99,52.62,52.64,46619761,2015
"11/2/2015 16:00:00",52.85,53.36,52.62,53.24,30284982,2015
"11/3/2015 16:00:00",52.93,54.39,52.9,54.15,36596931,2015
"11/4/2015 16:00:00",54.18,54.88,54.06,54.4,37087849,2015
"11/5/2015 16:00:00",54.49,54.7,54,54.38,31468485,2015
"11/6/2015 16:00:00",54.09,54.98,53.96,54.92,32851204,2015
"11/9/2015 16:00:00",54.55,54.87,53.56,54.16,32513067,2015
"11/10/2015 16:00:00",54.01,54.13,53.27,53.51,55283697,2015
"11/11/2015 16:00:00",53.7,54.2,53.46,53.65,36516260,2015
"11/12/2015 16:00:00",53.48,53.98,53.19,53.32,35361095,2015
"11/13/2015 16:00:00",53.07,53.29,52.53,52.84,36848175,2015
"11/16/2015 16:00:00",53.08,53.89,52.85,53.77,32165198,2015
"11/17/2015 16:00:00",53.17,53.53,52.85,52.97,31551255,2015
"11/18/2015 16:00:00",53,53.98,52.98,53.85,29710030,2015
"11/19/2015 16:00:00",53.99,54.66,53.78,53.94,28149228,2015
"11/20/2015 16:00:00",54.25,54.3,53.27,54.19,37147608,2015
"11/23/2015 16:00:00",54.25,54.46,53.75,54.19,28235918,2015
"11/24/2015 16:00:00",53.92,54.44,53.58,54.25,24600043,2015
"11/25/2015 16:00:00",54.09,54.23,53.69,53.69,21005147,2015
"11/27/2015 16:00:00",53.8,54.08,53.79,53.93,9009132,2015
"11/30/2015 16:00:00",54.54,54.96,54,54.35,56241417,2015
"12/1/2015 16:00:00",54.41,55.23,54.3,55.22,39952779,2015
"12/2/2015 16:00:00",55.32,55.96,55.06,55.21,47274879,2015
"12/3/2015 16:00:00",55.49,55.77,53.93,54.2,38627835,2015
"12/4/2015 16:00:00",54.12,56.23,54.1,55.91,43963662,2015
"12/7/2015 16:00:00",55.79,55.97,55.29,55.81,30709765,2015
"12/8/2015 16:00:00",55.47,56.1,54.99,55.79,32878026,2015
"12/9/2015 16:00:00",55.37,55.87,54.51,54.98,36373209,2015
"12/10/2015 16:00:00",55.39,55.66,55.01,55.27,31775826,2015
"12/11/2015 16:00:00",54.71,55.1,54.01,54.06,39549497,2015
"12/14/2015 16:00:00",54.33,55.21,53.68,55.14,47006491,2015
"12/15/2015 16:00:00",55.66,55.9,55.09,55.2,39842998,2015
"12/16/2015 16:00:00",55.54,56.25,54.76,56.13,37503300,2015
"12/17/2015 16:00:00",56.36,56.79,55.53,55.7,41280907,2015
"12/18/2015 16:00:00",55.77,56,54.03,54.13,84684164,2015
"12/21/2015 16:00:00",54.88,55.35,54.23,54.83,37246325,2015
"12/22/2015 16:00:00",54.99,55.48,54.5,55.35,28322241,2015
"12/23/2015 16:00:00",55.7,55.88,55.44,55.82,27279832,2015
"12/24/2015 16:00:00",55.86,55.96,55.43,55.67,9570002,2015
"12/28/2015 16:00:00",55.35,55.95,54.98,55.95,22458293,2015
"12/29/2015 16:00:00",56.29,56.85,56.06,56.55,27731403,2015
"12/30/2015 16:00:00",56.47,56.78,56.29,56.31,21704505,2015
"12/31/2015 16:00:00",56.04,56.19,55.42,55.48,27334061,2015
