"Date","Open","High","Low","Close","Volume","año"
"1/2/2018 16:00:00",86.13,86.31,85.5,85.95,22483797,2018
"1/3/2018 16:00:00",86.06,86.51,85.97,86.35,26061439,2018
"1/4/2018 16:00:00",86.59,87.66,86.57,87.11,21911974,2018
"1/5/2018 16:00:00",87.66,88.41,87.43,88.19,23407110,2018
"1/8/2018 16:00:00",88.2,88.58,87.6,88.28,22113049,2018
"1/9/2018 16:00:00",88.65,88.73,87.86,88.22,19484317,2018
"1/10/2018 16:00:00",87.86,88.19,87.41,87.82,18652201,2018
"1/11/2018 16:00:00",88.13,88.13,87.24,88.08,17808877,2018
"1/12/2018 16:00:00",88.67,89.78,88.45,89.6,24271531,2018
"1/16/2018 16:00:00",90.1,90.79,88.01,88.35,36599736,2018
"1/17/2018 16:00:00",89.08,90.28,88.75,90.14,25621164,2018
"1/18/2018 16:00:00",89.8,90.67,89.66,90.1,24159683,2018
"1/19/2018 16:00:00",90.14,90.61,89.66,90,36875013,2018
"1/22/2018 16:00:00",90,91.62,89.74,91.61,23601555,2018
"1/23/2018 16:00:00",91.9,92.3,91.54,91.9,23412841,2018
"1/24/2018 16:00:00",92.55,93.43,91.58,91.82,33277483,2018
"1/25/2018 16:00:00",92.47,93.24,91.93,92.33,26383238,2018
"1/26/2018 16:00:00",93.12,94.06,92.58,94.06,29172167,2018
"1/29/2018 16:00:00",95.14,95.45,93.72,93.92,31569940,2018
"1/30/2018 16:00:00",93.3,93.66,92.1,92.74,38635053,2018
"1/31/2018 16:00:00",93.75,95.4,93.51,95.01,48756338,2018
"2/1/2018 16:00:00",94.79,96.07,93.58,94.26,47227882,2018
"2/2/2018 16:00:00",93.64,93.97,91.5,91.78,47867753,2018
"2/5/2018 16:00:00",90.56,93.24,88,88,51031465,2018
"2/6/2018 16:00:00",86.89,91.48,85.25,91.33,67998564,2018
"2/7/2018 16:00:00",90.49,91.77,89.2,89.61,41107592,2018
"2/8/2018 16:00:00",89.71,89.88,84.76,85.01,55628657,2018
"2/9/2018 16:00:00",86.3,88.93,83.83,88.18,63499065,2018
"2/12/2018 16:00:00",88.74,89.78,87.93,89.13,35720341,2018
"2/13/2018 16:00:00",88.93,90,87.8,89.83,26407702,2018
"2/14/2018 16:00:00",88.51,90.99,88.41,90.81,34960912,2018
"2/15/2018 16:00:00",91.21,92.72,90.62,92.66,27823866,2018
"2/16/2018 16:00:00",92.45,93.5,91.8,92,30596919,2018
"2/20/2018 16:00:00",91.48,93.06,91.01,92.72,30911725,2018
"2/21/2018 16:00:00",92.98,93.36,91.49,91.49,26922503,2018
"2/22/2018 16:00:00",92.05,92.73,91.36,91.73,24392753,2018
"2/23/2018 16:00:00",92.75,94.07,92.36,94.06,26329226,2018
"2/26/2018 16:00:00",94.4,95.45,94.25,95.42,30199846,2018
"2/27/2018 16:00:00",95.74,95.84,94.2,94.2,25869119,2018
"2/28/2018 16:00:00",94.84,95.71,93.63,93.77,31167338,2018
"3/1/2018 16:00:00",93.99,94.57,91.84,92.85,37135561,2018
"3/2/2018 16:00:00",91.58,93.15,90.86,93.05,32830389,2018
"3/5/2018 16:00:00",92.34,94.27,92.26,93.64,23901578,2018
"3/6/2018 16:00:00",94.34,94.49,92.94,93.32,22175776,2018
"3/7/2018 16:00:00",93.16,93.94,92.43,93.86,26716127,2018
"3/8/2018 16:00:00",94.27,95.1,93.77,94.43,25887828,2018
"3/9/2018 16:00:00",95.29,96.54,95,96.54,36937254,2018
"3/12/2018 16:00:00",96.5,97.21,96.04,96.77,26073742,2018
"3/13/2018 16:00:00",97,97.24,93.97,94.41,35387817,2018
"3/14/2018 16:00:00",95.12,95.41,93.5,93.85,32131981,2018
"3/15/2018 16:00:00",93.53,94.58,92.83,94.18,27610998,2018
"3/16/2018 16:00:00",94.68,95.38,93.92,94.6,49081279,2018
"3/19/2018 16:00:00",93.74,93.9,92.11,92.89,33344085,2018
"3/20/2018 16:00:00",93.05,93.77,93,93.13,23075240,2018
"3/21/2018 16:00:00",92.93,94.05,92.21,92.48,24457082,2018
"3/22/2018 16:00:00",91.27,91.75,89.66,89.79,38604715,2018
"3/23/2018 16:00:00",89.5,90.46,87.08,87.18,44068949,2018
"3/26/2018 16:00:00",90.61,94,90.4,93.78,56396780,2018
"3/27/2018 16:00:00",94.94,95.14,88.51,89.47,56569011,2018
"3/28/2018 16:00:00",89.82,91.23,88.87,89.39,52501146,2018
"3/29/2018 16:00:00",90.18,92.29,88.4,91.27,45867548,2018
"4/2/2018 16:00:00",90.47,90.88,87.51,88.52,48515417,2018
"4/3/2018 16:00:00",89.58,90.05,87.89,89.71,37213837,2018
"4/4/2018 16:00:00",87.85,92.76,87.73,92.33,35559956,2018
"4/5/2018 16:00:00",92.44,93.07,91.4,92.38,29771881,2018
"4/6/2018 16:00:00",91.49,92.46,89.48,90.23,38026000,2018
"4/9/2018 16:00:00",91.04,93.17,90.62,90.77,31533943,2018
"4/10/2018 16:00:00",92.39,93.28,91.64,92.88,26939883,2018
"4/11/2018 16:00:00",92.01,93.29,91.48,91.86,24872110,2018
"4/12/2018 16:00:00",92.43,94.16,92.43,93.58,26758879,2018
"4/13/2018 16:00:00",94.05,94.18,92.44,93.08,23346063,2018
"4/16/2018 16:00:00",94.07,94.66,93.42,94.17,20288083,2018
"4/17/2018 16:00:00",95,96.54,94.88,96.07,26771000,2018
"4/18/2018 16:00:00",96.22,96.72,95.52,96.44,21043287,2018
"4/19/2018 16:00:00",96.44,97.07,95.34,96.11,23552541,2018
"4/20/2018 16:00:00",95.91,96.11,94.05,95,31154377,2018
"4/23/2018 16:00:00",95.74,96.29,94.63,95.35,22331829,2018
"4/24/2018 16:00:00",96.24,96.47,92.41,93.12,34524799,2018
"4/25/2018 16:00:00",93.3,93.3,90.28,92.31,33729257,2018
"4/26/2018 16:00:00",93.55,95.15,93.1,94.26,42529043,2018
"4/27/2018 16:00:00",97.6,97.9,93.91,95.82,48272780,2018
"4/30/2018 16:00:00",96.33,96.4,93.15,93.52,41523605,2018
"5/1/2018 16:00:00",93.21,95.29,92.79,95,31408927,2018
"5/2/2018 16:00:00",94.99,95.17,93.19,93.51,27471002,2018
"5/3/2018 16:00:00",92.96,94.93,92.45,94.07,31142497,2018
"5/4/2018 16:00:00",93.32,95.37,92.92,95.16,22531325,2018
"5/7/2018 16:00:00",95.17,96.71,95.1,96.22,24242019,2018
"5/8/2018 16:00:00",95.85,96.16,95.06,95.81,23484589,2018
"5/9/2018 16:00:00",96.01,96.97,95.05,96.94,27327410,2018
"5/10/2018 16:00:00",97.46,97.95,97.05,97.91,22388119,2018
"5/11/2018 16:00:00",97.8,97.87,97.04,97.7,16778316,2018
"5/14/2018 16:00:00",97.92,98.69,97.31,98.03,19454124,2018
"5/15/2018 16:00:00",97.24,97.85,96.34,97.32,24594010,2018
"5/16/2018 16:00:00",97.36,97.4,96.62,97.15,17384742,2018
"5/17/2018 16:00:00",96.76,97.54,95.83,96.18,17246716,2018
"5/18/2018 16:00:00",96.01,96.93,96.01,96.36,17865840,2018
"5/21/2018 16:00:00",97,98.01,96.8,97.6,19422467,2018
"5/22/2018 16:00:00",97.68,98.17,97.2,97.5,15441189,2018
"5/23/2018 16:00:00",96.71,98.73,96.32,98.66,21251222,2018
"5/24/2018 16:00:00",98.73,98.94,96.81,98.31,26649287,2018
"5/25/2018 16:00:00",98.3,98.98,97.86,98.36,18363918,2018
"5/29/2018 16:00:00",97.84,98.88,97.23,98.01,28670981,2018
"5/30/2018 16:00:00",98.31,99.25,97.91,98.95,22158528,2018
"5/31/2018 16:00:00",99.29,99.99,98.61,98.84,34140891,2018
"6/1/2018 16:00:00",99.28,100.86,99.17,100.79,28655624,2018
"6/4/2018 16:00:00",101.26,101.86,100.85,101.67,27281623,2018
"6/5/2018 16:00:00",102,102.33,101.53,102.19,23514402,2018
"6/6/2018 16:00:00",102.48,102.6,101.9,102.49,21122917,2018
"6/7/2018 16:00:00",102.65,102.69,100.38,100.88,28232197,2018
"6/8/2018 16:00:00",101.09,101.95,100.54,101.63,22165128,2018
"6/11/2018 16:00:00",101.37,101.59,100.67,101.05,23490894,2018
"6/12/2018 16:00:00",101.1,101.45,100.75,101.31,18325228,2018
"6/13/2018 16:00:00",101.72,102.01,100.56,100.85,29492875,2018
"6/14/2018 16:00:00",101.65,102.03,101,101.42,25691811,2018
"6/15/2018 16:00:00",101.51,101.53,100.07,100.13,65738585,2018
"6/18/2018 16:00:00",100.01,101.11,99.42,100.86,23586037,2018
"6/19/2018 16:00:00",99.65,101,99.5,100.86,28653087,2018
"6/20/2018 16:00:00",101.37,102.52,101.12,101.87,26180792,2018
"6/21/2018 16:00:00",102.08,102.46,100.88,101.14,23198188,2018
"6/22/2018 16:00:00",100.41,100.77,99.63,100.41,38923105,2018
"6/25/2018 16:00:00",100,100.11,97.3,98.39,35433333,2018
"6/26/2018 16:00:00",98.82,100.08,98.75,99.08,26897244,2018
"6/27/2018 16:00:00",99.58,100.02,97.4,97.54,31298386,2018
"6/28/2018 16:00:00",97.38,99.11,97.26,98.63,26650671,2018
"6/29/2018 16:00:00",98.93,99.91,98.33,98.61,28053214,2018
"7/2/2018 16:00:00",98.1,100.06,98,100.01,19564521,2018
"7/3/2018 13:00:00",100.48,100.63,98.94,99.05,14670275,2018
"7/5/2018 16:00:00",99.5,99.92,99.03,99.76,18977402,2018
"7/6/2018 16:00:00",99.89,101.43,99.67,101.16,19234627,2018
"7/9/2018 16:00:00",101.65,102.25,101.25,101.85,18211980,2018
"7/10/2018 16:00:00",102,102.51,101.86,102.12,19293140,2018
"7/11/2018 16:00:00",101.15,102.34,101.1,101.98,19644648,2018
"7/12/2018 16:00:00",102.77,104.41,102.73,104.19,24335929,2018
"7/13/2018 16:00:00",104.37,105.6,104.09,105.43,24653500,2018
"7/16/2018 16:00:00",105.4,105.82,104.52,104.91,21786912,2018
"7/17/2018 16:00:00",104.61,106.5,104.32,105.95,25901726,2018
"7/18/2018 16:00:00",105.94,106.05,104.72,105.12,29493927,2018
"7/19/2018 16:00:00",104.93,105.31,103.89,104.4,40171646,2018
"7/20/2018 16:00:00",108.08,108.2,106.08,106.27,56038827,2018
"7/23/2018 16:00:00",106.3,108.14,106.13,107.97,29706955,2018
"7/24/2018 16:00:00",108.57,108.82,107.26,107.66,26316619,2018
"7/25/2018 16:00:00",107.96,111.15,107.6,110.83,30798058,2018
"7/26/2018 16:00:00",110.74,111,109.5,109.62,31372110,2018
"7/27/2018 16:00:00",110.18,110.18,106.14,107.68,37005292,2018
"7/30/2018 16:00:00",107.19,107.53,104.76,105.37,34668327,2018
"7/31/2018 16:00:00",106.49,106.72,105.38,106.08,27655152,2018
"8/1/2018 16:00:00",106.03,106.45,105.42,106.28,23628699,2018
"8/2/2018 16:00:00",105.4,108.09,104.84,107.57,26104258,2018
"8/3/2018 16:00:00",107.8,108.05,106.82,108.04,18659599,2018
"8/6/2018 16:00:00",108.12,108.42,107.56,108.13,20265947,2018
"8/7/2018 16:00:00",108.56,109.1,108.17,108.88,16080214,2018
"8/8/2018 16:00:00",109.33,109.75,108.76,109.49,15487502,2018
"8/9/2018 16:00:00",109.71,110.16,109.6,109.67,13677211,2018
"8/10/2018 16:00:00",109.42,109.69,108.38,109,18183724,2018
"8/13/2018 16:00:00",109.24,109.58,108.1,108.21,18474884,2018
"8/14/2018 16:00:00",108.56,109.75,108.04,109.56,16788314,2018
"8/15/2018 16:00:00",108.49,108.99,106.82,107.66,29982806,2018
"8/16/2018 16:00:00",108.3,108.86,107.3,107.64,21384289,2018
"8/17/2018 16:00:00",107.36,107.9,106.69,107.58,18061512,2018
"8/20/2018 16:00:00",107.51,107.9,106.48,106.87,17914201,2018
"8/21/2018 16:00:00",106.92,107.35,105.85,105.98,22881861,2018
"8/22/2018 16:00:00",105.85,107.34,105.78,107.06,18000639,2018
"8/23/2018 16:00:00",107.15,108.18,106.87,107.56,18167723,2018
"8/24/2018 16:00:00",107.67,108.56,107.56,108.4,17234020,2018
"8/27/2018 16:00:00",109.27,109.64,108.51,109.6,19662331,2018
"8/28/2018 16:00:00",109.94,110.5,109.79,110.26,19151528,2018
"8/29/2018 16:00:00",110.45,112.03,110.27,112.02,20818044,2018
"8/30/2018 16:00:00",111.67,112.61,111.44,111.95,22798702,2018
"8/31/2018 16:00:00",111.69,112.78,111.52,112.33,23222713,2018
"9/4/2018 16:00:00",110.85,111.96,110.22,111.71,22634641,2018
"9/5/2018 16:00:00",111.01,111.42,108.1,108.49,32872352,2018
"9/6/2018 16:00:00",108.25,108.99,107.51,108.74,23477624,2018
"9/7/2018 16:00:00",108.23,108.72,107.23,108.21,22498646,2018
"9/10/2018 16:00:00",108.84,109.64,108.36,109.38,20727906,2018
"9/11/2018 16:00:00",108.9,111.59,108.89,111.24,24301774,2018
"9/12/2018 16:00:00",111.43,111.85,110.51,111.71,18891064,2018
"9/13/2018 16:00:00",112.12,113.73,112.12,112.91,26055620,2018
"9/14/2018 16:00:00",113.36,113.73,112.44,113.37,19122349,2018
"9/17/2018 16:00:00",113.69,113.7,111.86,112.14,20736516,2018
"9/18/2018 16:00:00",112.19,113.7,111.72,113.21,22170934,2018
"9/19/2018 16:00:00",113.05,113.32,111.04,111.7,21728429,2018
"9/20/2018 16:00:00",112.28,113.8,111.93,113.57,23714512,2018
"9/21/2018 16:00:00",114,115.29,113.51,114.26,71229698,2018
"9/24/2018 16:00:00",113.03,114.9,112.22,114.67,27334460,2018
"9/25/2018 16:00:00",114.8,115.1,113.75,114.45,22668014,2018
"9/26/2018 16:00:00",114.47,115.06,113.74,113.98,19352025,2018
"9/27/2018 16:00:00",114.78,114.91,114.2,114.41,19091299,2018
"9/28/2018 16:00:00",114.19,114.57,113.68,114.37,21647811,2018
"10/1/2018 16:00:00",114.75,115.68,114.73,115.61,18883079,2018
"10/2/2018 16:00:00",115.3,115.84,114.44,115.15,20787239,2018
"10/3/2018 16:00:00",115.42,116.18,114.93,115.17,16648018,2018
"10/4/2018 16:00:00",114.61,114.76,111.63,112.79,34821717,2018
"10/5/2018 16:00:00",112.63,113.17,110.64,112.13,29068859,2018
"10/8/2018 16:00:00",111.66,112.03,109.34,110.85,29640588,2018
"10/9/2018 16:00:00",111.14,113.08,110.8,112.26,26198594,2018
"10/10/2018 16:00:00",111.24,111.5,105.79,106.16,61376315,2018
"10/11/2018 16:00:00",105.35,108.93,104.2,105.91,63904282,2018
"10/12/2018 16:00:00",109.01,111.24,107.12,109.57,47742109,2018
"10/15/2018 16:00:00",108.91,109.48,106.95,107.6,32068103,2018
"10/16/2018 16:00:00",109.54,111.41,108.95,111,31610164,2018
"10/17/2018 16:00:00",111.68,111.81,109.55,110.71,26548243,2018
"10/18/2018 16:00:00",110.1,110.53,107.83,108.5,32506192,2018
"10/19/2018 16:00:00",108.93,110.86,108.21,108.66,32785475,2018
"10/22/2018 16:00:00",109.32,110.54,108.24,109.63,26545607,2018
"10/23/2018 16:00:00",107.77,108.97,105.11,108.1,43770429,2018
"10/24/2018 16:00:00",108.41,108.49,101.59,102.32,63897759,2018
"10/25/2018 16:00:00",106.55,109.27,106.15,108.3,61646819,2018
"10/26/2018 16:00:00",105.69,108.75,104.76,106.96,55523104,2018
"10/29/2018 16:00:00",108.11,108.7,101.63,103.85,55162001,2018
"10/30/2018 16:00:00",103.66,104.38,100.11,103.73,65350878,2018
"10/31/2018 16:00:00",105.44,108.14,105.39,106.81,51062383,2018
"11/1/2018 16:00:00",107.05,107.32,105.53,105.92,33384201,2018
"11/2/2018 16:00:00",106.48,107.32,104.98,106.16,37680194,2018
"11/5/2018 16:00:00",106.37,107.74,105.9,107.51,27922144,2018
"11/6/2018 16:00:00",107.38,108.84,106.28,107.72,24340248,2018
"11/7/2018 16:00:00",109.44,112.24,109.4,111.96,37901704,2018
"11/8/2018 16:00:00",111.8,112.21,110.91,111.75,25644105,2018
"11/9/2018 16:00:00",110.85,111.45,108.76,109.57,32039223,2018
"11/12/2018 16:00:00",109.42,109.96,106.1,106.87,33621807,2018
"11/13/2018 16:00:00",107.55,108.74,106.64,106.94,35374583,2018
"11/14/2018 16:00:00",108.1,108.26,104.47,104.97,39495141,2018
"11/15/2018 16:00:00",104.99,107.8,103.91,107.28,38505165,2018
"11/16/2018 16:00:00",107.08,108.88,106.8,108.29,33502121,2018
"11/19/2018 16:00:00",108.27,108.56,103.55,104.62,44773899,2018
"11/20/2018 16:00:00",101.8,102.97,99.35,101.71,64052457,2018
"11/21/2018 16:00:00",103.6,104.43,102.24,103.11,28130621,2018
"11/23/2018 13:00:00",102.17,103.81,102,103.07,13823099,2018
"11/26/2018 16:00:00",104.79,106.63,104.58,106.47,32336165,2018
"11/27/2018 16:00:00",106.27,107.33,105.36,107.14,29124486,2018
