"Date","Open","High","Low","Close","Volume","año"
"1/4/2021 16:00:00",222.53,223,214.81,217.69,37130139,2021
"1/5/2021 16:00:00",217.26,218.52,215.7,217.9,23822953,2021
"1/6/2021 16:00:00",212.17,216.49,211.94,212.25,35930653,2021
"1/7/2021 16:00:00",214.04,219.34,213.71,218.29,27694480,2021
"1/8/2021 16:00:00",218.68,220.58,217.03,219.62,22956206,2021
"1/11/2021 16:00:00",218.47,218.91,216.73,217.49,23047029,2021
"1/12/2021 16:00:00",216.5,217.1,213.32,214.93,23249336,2021
"1/13/2021 16:00:00",214.02,216.76,213.93,216.34,20087080,2021
"1/14/2021 16:00:00",215.91,217.46,212.74,213.02,29346737,2021
"1/15/2021 16:00:00",213.52,214.51,212.03,212.65,31746512,2021
"1/19/2021 16:00:00",213.75,216.98,212.63,216.44,30480859,2021
"1/20/2021 16:00:00",217.7,225.79,217.29,224.34,37777260,2021
"1/21/2021 16:00:00",224.7,226.3,222.42,224.97,30749553,2021
"1/22/2021 16:00:00",227.08,230.07,225.8,225.95,30172663,2021
"1/25/2021 16:00:00",229.12,229.78,224.22,229.53,33152095,2021
"1/26/2021 16:00:00",231.86,234.18,230.08,232.33,49169601,2021
"1/27/2021 16:00:00",238,240.44,230.14,232.9,69870638,2021
"1/28/2021 16:00:00",235.61,242.64,235.09,238.93,49111159,2021
"1/29/2021 16:00:00",235.99,238.02,231.35,231.96,42503138,2021
"2/1/2021 16:00:00",235.06,242.5,232.43,239.65,33314193,2021
"2/2/2021 16:00:00",241.3,242.31,238.69,239.51,25916337,2021
"2/3/2021 16:00:00",239.57,245.09,239.26,243,27158104,2021
"2/4/2021 16:00:00",242.66,243.24,240.37,242.01,25296100,2021
"2/5/2021 16:00:00",242.23,243.28,240.42,242.2,18054752,2021
"2/8/2021 16:00:00",243.15,243.68,240.81,242.47,22211929,2021
"2/9/2021 16:00:00",241.87,244.76,241.38,243.77,23564953,2021
"2/10/2021 16:00:00",245,245.92,240.89,242.82,22186706,2021
"2/11/2021 16:00:00",244.78,245.15,242.15,244.49,15751059,2021
"2/12/2021 16:00:00",243.93,245.3,242.73,244.99,16561079,2021
"2/16/2021 16:00:00",245.03,246.13,242.92,243.7,26728490,2021
"2/17/2021 16:00:00",241.32,244.31,240.94,244.2,21673109,2021
"2/18/2021 16:00:00",241.8,243.93,240.86,243.79,16925563,2021
"2/19/2021 16:00:00",243.75,243.86,240.18,240.97,25262600,2021
"2/22/2021 16:00:00",237.42,237.93,232.4,234.51,36446936,2021
"2/23/2021 16:00:00",230.33,234.83,228.73,233.27,30228704,2021
"2/24/2021 16:00:00",230.01,235.2,229,234.55,26339746,2021
"2/25/2021 16:00:00",232.08,234.59,227.88,228.99,39542235,2021
"2/26/2021 16:00:00",231.53,235.37,229.54,232.38,37819227,2021
"3/1/2021 16:00:00",235.9,237.47,233.15,236.94,25332837,2021
"3/2/2021 16:00:00",237.01,237.3,233.45,233.87,22812459,2021
"3/3/2021 16:00:00",232.16,233.58,227.26,227.56,34029526,2021
"3/4/2021 16:00:00",226.74,232.49,224.26,226.73,44727785,2021
"3/5/2021 16:00:00",229.52,233.27,226.46,231.6,41872770,2021
"3/8/2021 16:00:00",231.37,233.37,227.13,227.39,35267440,2021
"3/9/2021 16:00:00",232.88,235.38,231.67,233.78,33080531,2021
"3/10/2021 16:00:00",237,237,232.04,232.42,29746812,2021
"3/11/2021 16:00:00",234.96,239.17,234.31,237.13,29907586,2021
"3/12/2021 16:00:00",234.01,235.82,233.23,235.75,22653662,2021
"3/15/2021 16:00:00",234.96,235.19,231.81,234.81,26042669,2021
"3/16/2021 16:00:00",236.28,240.06,235.94,237.71,28092196,2021
"3/17/2021 16:00:00",236.15,238.55,233.23,237.04,29562100,2021
"3/18/2021 16:00:00",232.56,234.19,230.33,230.72,34852251,2021
"3/19/2021 16:00:00",231.02,232.47,229.35,230.35,46430730,2021
"3/22/2021 16:00:00",230.27,236.9,230.14,235.99,30127005,2021
"3/23/2021 16:00:00",237.49,241.05,237.07,237.58,31638376,2021
"3/24/2021 16:00:00",237.85,238,235.32,235.46,25620127,2021
"3/25/2021 16:00:00",235.3,236.94,231.57,232.34,34061853,2021
"3/26/2021 16:00:00",231.55,236.71,231.55,236.48,25479853,2021
"3/29/2021 16:00:00",236.59,236.8,231.88,235.24,25227455,2021
"3/30/2021 16:00:00",233.53,233.85,231.1,231.85,24792012,2021
"3/31/2021 16:00:00",232.91,239.1,232.39,235.77,43623471,2021
