"Date","Open","High","Low","Close","Volume","año"
"1/2/2019 16:00:00",99.55,101.75,98.94,101.12,35329345,2019
"1/3/2019 16:00:00",100.1,100.19,97.2,97.4,42578410,2019
"1/4/2019 16:00:00",99.72,102.51,98.93,101.93,44060620,2019
"1/7/2019 16:00:00",101.64,103.27,100.98,102.06,35656136,2019
"1/8/2019 16:00:00",103.04,103.97,101.71,102.8,31514415,2019
"1/9/2019 16:00:00",103.86,104.88,103.24,104.27,32280840,2019
"1/10/2019 16:00:00",103.22,103.75,102.38,103.6,30067556,2019
"1/11/2019 16:00:00",103.19,103.44,101.64,102.8,28314202,2019
"1/14/2019 16:00:00",101.9,102.87,101.26,102.05,28437079,2019
"1/15/2019 16:00:00",102.51,105.05,101.88,105.01,31587616,2019
"1/16/2019 16:00:00",105.26,106.26,104.96,105.38,29853865,2019
"1/17/2019 16:00:00",105,106.63,104.76,106.12,28393015,2019
"1/18/2019 16:00:00",107.46,107.9,105.91,107.71,37427587,2019
"1/22/2019 16:00:00",106.75,107.1,104.86,105.68,32371253,2019
"1/23/2019 16:00:00",106.12,107.04,105.34,106.71,25874294,2019
"1/24/2019 16:00:00",106.86,107,105.34,106.2,23164838,2019
"1/25/2019 16:00:00",107.24,107.88,106.59,107.17,31218193,2019
"1/28/2019 16:00:00",106.26,106.48,104.66,105.08,29476719,2019
"1/29/2019 16:00:00",104.88,104.97,102.17,102.94,31490547,2019
"1/30/2019 16:00:00",104.62,106.38,104.33,106.38,49471866,2019
"1/31/2019 16:00:00",103.8,105.22,103.18,104.43,55636391,2019
"2/1/2019 16:00:00",103.78,104.1,102.35,102.78,35535690,2019
"2/4/2019 16:00:00",102.87,105.8,102.77,105.74,31315282,2019
"2/5/2019 16:00:00",106.06,107.27,105.96,107.22,27325365,2019
"2/6/2019 16:00:00",107,107,105.53,106.03,20609759,2019
"2/7/2019 16:00:00",105.19,105.59,104.29,105.27,29760697,2019
"2/8/2019 16:00:00",104.39,105.78,104.26,105.67,21461093,2019
"2/11/2019 16:00:00",106.2,106.58,104.97,105.25,18914123,2019
"2/12/2019 16:00:00",106.14,107.14,105.48,106.89,25056595,2019
"2/13/2019 16:00:00",107.5,107.78,106.71,106.81,18394869,2019
"2/14/2019 16:00:00",106.31,107.29,105.66,106.9,21784703,2019
"2/15/2019 16:00:00",107.91,108.3,107.36,108.22,26606886,2019
"2/19/2019 16:00:00",107.79,108.66,107.78,108.17,18038460,2019
"2/20/2019 16:00:00",107.86,107.94,106.29,107.15,21607671,2019
"2/21/2019 16:00:00",106.9,109.48,106.87,109.41,29063231,2019
"2/22/2019 16:00:00",110.05,111.2,109.82,110.97,27763218,2019
"2/25/2019 16:00:00",111.76,112.18,111.26,111.59,23750599,2019
"2/26/2019 16:00:00",111.26,113.24,111.17,112.36,21536733,2019
"2/27/2019 16:00:00",111.69,112.36,110.88,112.17,21487062,2019
"2/28/2019 16:00:00",112.04,112.88,111.73,112.03,29083934,2019
"3/1/2019 16:00:00",112.89,113.02,111.67,112.53,23501169,2019
"3/4/2019 16:00:00",113.02,113.25,110.8,112.26,26608014,2019
"3/5/2019 16:00:00",112.25,112.39,111.23,111.7,19538318,2019
"3/6/2019 16:00:00",111.87,112.66,111.43,111.75,17686996,2019
"3/7/2019 16:00:00",111.4,111.55,109.87,110.39,25338954,2019
"3/8/2019 16:00:00",109.16,110.71,108.8,110.51,22818430,2019
"3/11/2019 16:00:00",110.99,112.95,110.98,112.83,26491618,2019
"3/12/2019 16:00:00",112.82,113.99,112.65,113.62,26132717,2019
"3/13/2019 16:00:00",114.13,115,113.78,114.5,35513771,2019
"3/14/2019 16:00:00",114.54,115.2,114.33,114.59,30763367,2019
"3/15/2019 16:00:00",115.34,117.25,114.59,115.91,54630661,2019
"3/18/2019 16:00:00",116.17,117.61,116.05,117.57,31207596,2019
"3/19/2019 16:00:00",118.09,118.44,116.99,117.65,37588697,2019
"3/20/2019 16:00:00",117.39,118.75,116.71,117.52,28113343,2019
"3/21/2019 16:00:00",117.14,120.82,117.09,120.22,29854446,2019
